City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Mormugao,IN,78.06,light intensity drizzle,15.4,73.8,Coconut Creek Resort
225,Santa Cruz Verapaz,GT,75.96,few clouds,15.3667,-90.4333,Park Hotel
229,Corning,US,87.12,overcast clouds,42.1428,-77.0547,Fairfield Inn by Marriott Corning Riverside
230,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
232,San Ciro De Acosta,MX,85.69,broken clouds,21.6333,-99.8167,Hotel Maria Isabel
233,Thaton,MM,79.05,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
235,Palmer,US,89.51,scattered clouds,42.1584,-72.3287,Wedgewood Motel
239,Buala,SB,79.0,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
242,Eydhafushi,MV,80.96,overcast clouds,5.1033,73.0708,Soneva Fushi
246,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
247,Aguimes,ES,75.67,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
249,Roquetas De Mar,ES,86.61,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
250,Keta,GH,80.82,broken clouds,5.9179,0.9879,A&Y Wild Camp Ghana
252,Hami,CN,83.25,clear sky,42.8,93.45,Laoyutang Resort
255,Arcos,BR,85.39,broken clouds,-20.2819,-45.5394,Victor Plaza Hotel Arcos
256,Auki,SB,76.35,scattered clouds,-8.7676,160.7034,Auki Motel
258,Maragogi,BR,77.02,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
267,Miamisburg,US,75.43,moderate rain,39.6428,-84.2866,Super 8 by Wyndham Miamisburg Dayton S Area OH
268,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
270,Namatanai,PG,78.8,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
277,Tevaitoa,PF,76.35,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
286,Srandakan,ID,75.69,overcast clouds,-7.9386,110.2506,Puri Brata
288,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
290,Saravena,CO,87.19,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
292,Hamilton,US,75.76,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
294,Koulamoutou,GA,80.91,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
295,Umm Lajj,SA,86.13,broken clouds,25.0213,37.2685,Moon light Furnished Units
300,Mahajanga,MG,80.62,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
302,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
304,Axim,GH,76.24,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
307,Xuchang,CN,80.26,clear sky,34.0167,113.8167,Super 8 Hotel
308,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
310,Siniscola,IT,87.35,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
311,Puerto Escondido,MX,85.26,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
313,Monrovia,LR,80.37,light rain,6.3005,-10.7969,Sunset Inn
314,Brentwood,US,84.36,broken clouds,40.7812,-73.2462,"Holiday Inn Express Hauppauge-Long Island, an IHG Hotel"
315,Kaseda,JP,77.9,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
316,Abbeville,FR,84.49,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
317,Yaan,NG,76.51,overcast clouds,7.3833,8.5667,Hotel RIKMAN Continental
319,Sao Filipe,CV,76.1,scattered clouds,14.8961,-24.4956,Hotel Xaguate
320,Sinnamary,GF,82.35,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
324,Luganville,VU,77.4,broken clouds,-15.5333,167.1667,The Espiritu Hotel
326,Carbonia,IT,85.01,clear sky,39.1672,8.5222,Lu 'Hotel
337,Iralaya,HN,84.85,clear sky,15.0,-83.2333,Iglesia morava renovada
340,Acarau,BR,84.42,broken clouds,-2.8856,-40.12,castelo pizzaria
343,Ramgarh,IN,80.65,few clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
344,Bubaque,GW,81.27,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
347,Coro,VE,88.34,scattered clouds,11.4045,-69.6734,Federal
349,Hearst,CA,82.65,few clouds,49.6835,-83.6665,Companion
350,Xihe,CN,79.14,clear sky,31.6864,113.4659,Junyi Apartment Guest Room
351,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
352,Divnomorskoye,RU,75.9,broken clouds,44.5011,38.1353,Primorskiy
353,Dicabisagan,PH,79.07,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
359,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
362,Betma,IN,77.22,moderate rain,22.6833,75.6167,Khandelwal Paradise
365,Kermanshah,IR,86.9,clear sky,34.3142,47.065,Sina Hotel
366,Vanimo,PG,75.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
368,Thinadhoo,MV,77.07,overcast clouds,0.5333,72.9333,Hotel RIKMAN Continental
370,Vibo Valentia,IT,77.59,clear sky,38.6996,16.1274,Hotel Barbieri
373,Lac Du Bonnet,CA,88.32,clear sky,50.2536,-96.0612,Drifter's Inn
378,Barhi,IN,84.36,broken clouds,23.9,80.8,Umesh Kevat
380,Kaduqli,SD,80.44,light rain,11.0167,29.7167,Nussyba
382,Boromo,BF,80.38,overcast clouds,11.75,-2.9333,Sama Camp
386,Matara,LK,79.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
388,Sandakan,MY,76.68,few clouds,5.8402,118.1179,Hotel Sandakan
390,Margate,GB,81.1,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
391,Conakry,GN,82.47,broken clouds,9.538,-13.6773,Riviera Royal Hotel
392,Vaitape,PF,76.57,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
397,Kaset Sombun,TH,78.21,scattered clouds,16.2805,101.9542,โรงแรมบุญเทวา
402,Bandarbeyla,SO,76.84,few clouds,9.4942,50.8122,JABIR HOTEL
404,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
406,Kieta,PG,78.44,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
408,Shaunavon,CA,83.98,scattered clouds,49.6501,-108.4181,Bear's Den Lodge
410,Uige,AO,79.09,broken clouds,-7.6087,15.0613,Hotel Catraio
417,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
419,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
425,Pentecoste,BR,86.2,broken clouds,-3.7928,-39.2703,Motel Big love
430,Half Moon Bay,US,83.8,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
431,Marsh Harbour,BS,84.04,broken clouds,26.5412,-77.0636,Abaco Beach Resort
432,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
436,La Poza,MX,87.37,overcast clouds,20.1167,-96.9667,Mother viña cariño
440,Cururupu,BR,86.88,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
446,Abu Samrah,SY,85.48,clear sky,35.3029,37.1841,Hotel RIKMAN Continental
447,Nago,JP,82.83,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
450,Nha Trang,VN,78.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
453,Kampong Cham,KH,78.28,moderate rain,11.9934,105.4635,7 Makara Hotel
457,Mana,GF,82.62,broken clouds,5.6592,-53.7767,LE SAMANA
458,Lengshuitan,CN,80.82,overcast clouds,26.4111,111.5956,Jialong Hotel
459,Akwatia,GH,75.13,broken clouds,6.0402,-0.8088,Baffour Guest House
460,Minbu,MM,81.77,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
462,Hirara,JP,84.76,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
465,Huangpi,CN,84.31,clear sky,30.8845,114.3779,Xinxing Lidu Hotel
466,Lamu,KE,75.74,scattered clouds,-2.2717,40.902,Lamu House
467,Ganzhou,CN,78.57,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
469,Mount Pleasant,US,87.31,clear sky,32.7941,-79.8626,Best Western Patriots Point
472,Borger,NL,76.82,overcast clouds,52.9233,6.7931,Roompot Bospark Lunsbergen
473,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
477,Mayo,US,87.37,clear sky,38.8876,-76.5119,Resorts Resource Group International
478,Manadhoo,MV,81.19,overcast clouds,5.7667,73.3833,Bon Abri maldives
480,Ati,TD,79.88,overcast clouds,13.2154,18.3353,Hotel RIKMAN Continental
481,Salinas,US,76.01,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
483,Great Yarmouth,GB,80.85,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
484,Tateyama,JP,75.09,light rain,34.9833,139.8667,Tateyama Seaside Hotel
485,Honiara,SB,75.99,broken clouds,-9.4333,159.95,Heritage Park Hotel
487,Zabid,YE,88.9,overcast clouds,14.1951,43.3152,مغرب التريبه
488,Mao,ES,88.36,clear sky,39.8885,4.2658,ARTIEM Capri
490,Lazaro Cardenas,MX,87.58,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
494,Faanui,PF,76.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
496,La Malbaie,CA,79.34,scattered clouds,47.6575,-70.1559,Hôtel Fairmont Le Manoir Richelieu
502,Dhandhuka,IN,82.83,overcast clouds,22.3667,71.9833,Amin Auto
504,Ailigandi,PA,83.53,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
506,Santos Dumont,BR,86.11,overcast clouds,-21.4567,-43.5525,Country Hotel e Leiteria São Luiz
508,Dayong,CN,79.75,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
510,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
515,Samarai,PG,78.84,light rain,-10.6167,150.6667,Nuli Sapi
517,Ca Mau,VN,78.17,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
518,Bocas Del Toro,PA,82.42,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
521,Mushie,CD,86.5,broken clouds,-3.0167,16.9,Hotel RIKMAN Continental
524,Nurota,UZ,89.37,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
525,Trairi,BR,85.14,broken clouds,-3.2778,-39.2689,janelas do mar
528,Grand Forks,US,87.73,clear sky,47.9417,-97.4337,Warrior Inn
531,Northam,GB,83.25,overcast clouds,51.0333,-4.2167,Durrant House Hotel
533,Raipur,IN,78.94,mist,21.2333,81.6333,Le Roi Raipur Hotel
534,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
535,Puerto Berrio,CO,89.24,overcast clouds,6.4916,-74.4033,Hotel Central
540,Yumen,CN,76.66,overcast clouds,40.2833,97.2,Hotel RIKMAN Continental
541,Gushikawa,JP,81.99,moderate rain,26.3544,127.8686,Kirari Guest House
543,Sabang,ID,82.24,broken clouds,5.8933,95.3214,Hotel Citra
545,George Town,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
547,Lorengau,PG,81.5,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
549,Myitkyina,MM,76.23,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
552,Candolim,IN,78.8,light intensity drizzle,15.5181,73.7626,Resort Terra Paraiso
559,Bac Lieu,VN,79.83,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
560,Craig,US,82.35,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
561,Tarapur,IN,80.11,overcast clouds,19.85,72.7,Vasantshrushti Farm
563,Sarh,TD,78.71,clear sky,9.1429,18.3923,Domicile 1sur le goudron
567,Baijiantan,CN,89.92,scattered clouds,45.6333,85.1833,Hotel RIKMAN Continental
569,Zhangzhou,CN,85.93,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
571,Saint-Francois,FR,87.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
575,Egra,CZ,76.93,few clouds,50.0796,12.3739,Hotel Barbarossa
580,Mabay,PH,78.58,moderate rain,6.0577,124.4666,Bautista Lodging House
581,Dakar,SN,85.08,broken clouds,14.6937,-17.4441,Novotel Dakar
582,Sa Kaeo,TH,76.96,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
584,Zhanjiang,CN,82.0,overcast clouds,21.2815,110.3427,创业旅店
591,Yarmouth,US,85.17,scattered clouds,41.7057,-70.2286,Blue Rock Resort
594,Lubben,DE,75.25,scattered clouds,51.95,13.9,Hotel & Restaurant Spreeblick - Thomas Lehmann
595,Wageningen,NL,79.03,overcast clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
596,Quartucciu,IT,86.02,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
598,Bangkalan,ID,78.75,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
599,Le Portel,FR,83.89,overcast clouds,50.7056,1.5757,ibis Boulogne-sur-Mer Centre Les Ports
603,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
606,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Green leaf
609,Turkan,AZ,78.98,clear sky,40.3639,50.215,Reshad
610,Pemangkat,ID,77.97,overcast clouds,1.1667,108.9667,Ramah Kost KITA
613,Lasa,IT,75.29,few clouds,46.6166,10.7002,Pension Feldgärtenhof
