City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,New Norfolk,AU,-42.7826,147.0587,38.7,75,92,4.0,overcast clouds
80,Barrow,US,71.2906,-156.7887,35.62,93,100,18.41,overcast clouds
81,Mount Gambier,AU,-37.8333,140.7667,46.36,78,93,9.89,overcast clouds
82,Avera,US,33.194,-82.5271,89.65,42,0,6.17,clear sky
83,Torbay,CA,47.6666,-52.7314,78.76,59,100,10.36,overcast clouds
84,Vanavara,RU,60.34,102.2797,51.4,89,63,3.13,broken clouds
85,Isangel,VU,-19.55,169.2667,74.19,86,84,15.08,broken clouds
86,Wufeng,CN,27.45,104.8333,63.39,99,100,3.69,light rain
87,Pangnirtung,CA,66.1451,-65.7125,44.6,81,40,14.97,scattered clouds
88,Atuona,PF,-9.8,-139.0333,77.95,77,21,21.03,few clouds
89,Sangar,RU,63.9242,127.4739,65.73,97,99,5.68,light rain
90,Tuatapere,NZ,-46.1333,167.6833,55.13,61,61,12.08,broken clouds
91,Bilibino,RU,68.0546,166.4372,30.83,71,47,17.02,scattered clouds
92,Beyneu,KZ,45.3167,55.2,98.15,15,0,14.99,clear sky
93,Marrakesh,MA,31.6315,-8.0083,102.27,29,40,9.22,scattered clouds
94,Tiksi,RU,71.6872,128.8694,36.77,78,99,4.21,overcast clouds
95,Demidov,RU,55.2706,31.515,58.86,74,98,3.51,overcast clouds
96,Vaini,TO,-21.2,-175.2,73.56,83,20,6.91,few clouds
97,Tautira,PF,-17.7333,-149.15,74.89,72,62,14.72,broken clouds
98,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,19.57,scattered clouds
99,Chebsara,RU,59.2002,38.8356,60.13,76,63,0.85,broken clouds
100,Bluff,NZ,-46.6,168.3333,51.8,67,87,20.65,overcast clouds
101,Marica,BR,-22.9194,-42.8186,89.55,58,91,6.82,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,43.68,82,51,12.3,broken clouds
103,Ilulissat,GL,69.2167,-51.1,59.02,38,20,11.5,few clouds
104,Guerrero Negro,MX,27.9769,-114.0611,77.9,51,3,9.04,clear sky
105,Bernalillo,US,35.05,-106.6673,96.33,23,0,6.91,clear sky
106,Mahebourg,MU,-20.4081,57.7,70.09,64,40,19.57,scattered clouds
107,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,18.41,few clouds
108,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,11.5,clear sky
109,Vilyuysk,RU,63.7553,121.6247,61.14,98,77,4.32,broken clouds
110,Peniche,PT,39.3558,-9.3811,75.29,80,2,8.52,clear sky
111,Cidreira,BR,-30.1811,-50.2056,57.7,62,14,12.8,few clouds
112,Araguaina,BR,-7.1911,-48.2072,97.03,21,11,7.58,few clouds
113,Severo-Kurilsk,RU,50.6789,156.125,53.06,97,100,0.98,overcast clouds
114,Busselton,AU,-33.65,115.3333,53.15,93,100,13.13,overcast clouds
115,Kanuma,JP,36.55,139.7333,71.67,88,77,3.94,light rain
116,Kapit,MY,2.0167,112.9333,74.44,93,100,1.5,overcast clouds
117,Okhotsk,RU,59.3833,143.3,52.95,97,19,1.25,few clouds
118,Tirano,IT,46.2154,10.1679,86.43,83,17,3.53,few clouds
119,Leshukonskoye,RU,64.8989,45.7622,63.79,63,100,2.73,overcast clouds
120,Lom Sak,TH,16.7798,101.2422,77.22,92,55,1.72,broken clouds
121,Damara,CF,4.9608,18.7035,71.67,92,55,2.64,broken clouds
122,Biak,ID,-0.9131,122.8766,74.23,87,98,6.58,overcast clouds
123,Nyrob,RU,60.733,56.7202,62.08,70,76,2.84,broken clouds
124,Monte Alegre,BR,-2.0078,-54.0692,93.07,42,31,2.95,scattered clouds
125,Kaitangata,NZ,-46.2817,169.8464,42.12,90,90,3.15,overcast clouds
126,Roald,NO,62.5833,6.1333,61.9,82,75,21.85,broken clouds
127,Victoria,HK,22.2855,114.1577,87.33,81,100,11.01,overcast clouds
128,Bereda,ES,43.2686,-7.5406,88.41,57,42,4.45,light rain
129,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,69,75,12.55,broken clouds
130,Donskoye,RU,45.4552,41.9741,82.53,47,41,5.48,scattered clouds
131,Saint Marys,US,30.7305,-81.5465,92.12,71,0,10.36,haze
132,Sorland,NO,67.667,12.6934,51.66,77,80,14.47,broken clouds
133,Yokadouma,CM,3.5167,15.05,70.75,98,98,2.08,light rain
134,Beringovskiy,RU,63.05,179.3167,51.71,66,60,32.1,broken clouds
135,Vangaindrano,MG,-23.35,47.6,64.15,86,12,5.97,light rain
136,Mataura,NZ,-46.1927,168.8643,51.48,88,86,5.84,overcast clouds
137,Egvekinot,RU,66.3167,-179.1667,34.72,46,74,22.44,broken clouds
138,Hefei,CN,31.8639,117.2808,78.82,89,75,6.71,broken clouds
139,Dikson,RU,73.5069,80.5464,45.1,79,65,8.77,broken clouds
140,Saskylakh,RU,71.9167,114.0833,46.87,59,90,5.91,overcast clouds
141,Mount Isa,AU,-20.7333,139.5,47.97,81,3,0.0,clear sky
142,Khatanga,RU,71.9667,102.5,57.81,62,100,5.06,overcast clouds
143,Jamestown,US,42.097,-79.2353,78.39,70,100,6.91,overcast clouds
144,Changde,CN,29.0464,111.6783,78.46,94,94,2.13,overcast clouds
145,Bahia Blanca,AR,-38.7196,-62.2724,59.56,29,86,19.55,overcast clouds
146,Ryotsu,JP,38.0833,138.4333,73.22,90,46,5.44,scattered clouds
147,Fantanele,RO,46.1167,21.4,77.52,29,0,9.22,clear sky
148,Port Lincoln,AU,-34.7333,135.8667,53.73,53,99,8.97,overcast clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,75,4.61,broken clouds
150,Dingle,PH,10.9995,122.6711,75.09,94,100,1.95,light rain
151,Imbituba,BR,-28.24,-48.6703,66.85,78,100,11.99,overcast clouds
152,Erdaojiang,CN,41.7764,126.0319,63.66,98,66,1.68,broken clouds
153,Kalinovskaya,RU,43.5758,45.5192,87.08,31,0,8.43,clear sky
154,Bengkulu,ID,-3.8004,102.2655,76.44,90,73,3.38,broken clouds
155,Wakkanai,JP,45.4094,141.6739,60.4,92,100,14.0,heavy intensity rain
156,Carnarvon,AU,-24.8667,113.6333,67.15,79,23,11.54,few clouds
157,Fortuna,US,40.5982,-124.1573,58.98,76,37,8.68,scattered clouds
158,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,81,0,16.11,clear sky
159,Prieska,ZA,-29.6641,22.7474,60.49,41,0,8.66,clear sky
160,Morondava,MG,-20.2833,44.2833,75.16,51,20,12.59,few clouds
161,Aranos,NA,-24.1333,19.1167,57.43,29,5,8.95,clear sky
162,Loviisa,FI,60.4566,26.2251,54.28,87,99,9.62,overcast clouds
163,Omegna,IT,45.8798,8.408,90.75,54,33,2.73,scattered clouds
164,Chuy,UY,-33.6971,-53.4616,52.18,62,0,12.55,clear sky
165,Touros,BR,-5.1989,-35.4608,80.44,75,67,17.25,broken clouds
166,Doha,QA,25.2867,51.5333,98.91,64,9,4.61,clear sky
167,Presidente Olegario,BR,-18.4178,-46.4181,83.52,22,90,6.96,overcast clouds
168,Palmas,BR,-10.2128,-48.3603,91.27,27,0,9.22,clear sky
169,Katsuura,JP,35.1333,140.3,76.6,92,37,14.25,light rain
170,Kalmunai,LK,7.4167,81.8167,81.84,81,100,2.86,overcast clouds
171,Namibe,AO,-15.1961,12.1522,63.23,88,100,12.66,overcast clouds
172,Isla Vista,US,34.4133,-119.861,96.39,49,0,4.72,clear sky
173,Bethel,US,41.3712,-73.414,86.52,62,20,6.91,few clouds
174,Berlevag,NO,70.8578,29.0864,55.4,87,100,4.61,overcast clouds
175,Port Augusta,AU,-32.5,137.7667,46.83,86,47,5.14,scattered clouds
176,Chokurdakh,RU,70.6333,147.9167,40.06,67,16,11.45,few clouds
177,Clyde River,CA,70.4692,-68.5914,35.83,87,100,13.8,overcast clouds
178,Harper,LR,4.375,-7.7169,76.37,77,100,11.07,overcast clouds
179,Ballitoville,ZA,-29.539,31.2144,66.34,72,0,14.97,clear sky
180,Talnakh,RU,69.4865,88.3972,58.21,71,95,3.85,overcast clouds
181,Malartic,CA,48.1335,-78.1328,82.02,53,36,2.68,scattered clouds
182,Corcoran,US,36.098,-119.5604,98.38,10,0,5.99,clear sky
183,Sokolo,ML,14.7328,-6.1219,90.82,41,86,9.37,overcast clouds
184,Pisco,PE,-13.7,-76.2167,64.02,72,3,9.22,haze
185,Alta Floresta,BR,-9.8756,-56.0861,98.42,23,40,12.66,scattered clouds
186,Nicolas Bravo,MX,18.45,-88.9167,91.92,41,45,5.39,scattered clouds
187,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,71,87,17.76,overcast clouds
188,Mantua,IT,45.1667,10.7833,90.64,54,2,5.01,clear sky
189,Porbandar,IN,21.6422,69.6093,81.12,86,78,18.5,broken clouds
190,Gat,IL,31.61,34.7642,81.81,100,0,5.79,clear sky
191,Alofi,NU,-19.0595,-169.9187,71.49,94,24,5.75,few clouds
192,Atherton,GB,53.5237,-2.4935,88.29,34,95,5.99,overcast clouds
193,Saint Anthony,US,45.0205,-93.218,88.95,51,20,9.22,few clouds
194,La Ronge,CA,55.1001,-105.2842,77.22,46,75,8.05,broken clouds
195,Talaya,RU,61.3833,152.75,61.2,96,85,5.97,overcast clouds
196,Mabaruma,GY,8.2,-59.7833,83.28,81,33,5.12,scattered clouds
197,Mar Del Plata,AR,-38.0023,-57.5575,60.1,40,0,19.57,clear sky
198,Newport,GB,51.5877,-2.9984,83.68,41,85,8.32,overcast clouds
